county_name,fips,state_name,lat,lng
Montgomery,42091,Pennsylvania,40.2108,-75.3673
Hamilton,39061,Ohio,39.1955,-84.5428
Multnomah,41051,Oregon,45.5468,-122.4147
Snohomish,53061,Washington,48.0475,-121.6975
Suffolk,25025,Massachusetts,42.3336,-71.0709
Essex,34013,New Jersey,40.7872,-74.247
Oklahoma,40109,Oklahoma,35.5515,-97.4072
Essex,25009,Massachusetts,42.6731,-70.952
San Mateo,06081,California,37.4229,-122.329
Jefferson,21111,Kentucky,38.1872,-85.6591
Fort Bend,48157,Texas,29.5275,-95.7709
Cobb,13067,Georgia,33.9415,-84.5767
DeKalb,13089,Georgia,33.7715,-84.2264
Monroe,36055,New York,43.1464,-77.6961
San Joaquin,06077,California,37.9348,-121.2714
Lee,12071,Florida,26.5778,-81.8337
Denver,08031,Colorado,39.7621,-104.8759
Lake,17097,Illinois,42.3233,-88.0037
Norfolk,25021,Massachusetts,42.1607,-71.2111
El Paso,08041,Colorado,38.8321,-104.5255
Jackson,29095,Missouri,39.0085,-94.3461
District of Columbia,11001,District of Columbia,38.9047,-77.0163
Will,17197,Illinois,41.445,-87.9786
Davidson,47037,Tennessee,36.1695,-86.7848
Polk,12105,Florida,27.9489,-81.6976
Bernalillo,35001,New Mexico,35.0513,-106.6701
Hudson,34017,New Jersey,40.7351,-74.0777
Jefferson,01073,Alabama,33.5543,-86.8964
Kent,26081,Michigan,43.0322,-85.5493
Tulsa,40143,Oklahoma,36.1211,-95.9415
Arapahoe,08005,Colorado,39.6498,-104.3392
Providence,44007,Rhode Island,41.8721,-71.58
Bucks,42017,Pennsylvania,40.337,-75.1069
Monmouth,34025,New Jersey,40.2603,-74.2213
Baltimore,24510,Maryland,39.3051,-76.6144
Utah,49049,Utah,40.1199,-111.6703
Ocean,34029,New Jersey,39.8855,-74.2813
Johnson,20091,Kansas,38.8838,-94.8223
Washington,41067,Oregon,45.5601,-123.0984
Brevard,12009,Florida,28.2937,-80.7323
Jefferson,08059,Colorado,39.5864,-105.2505
Montgomery,48339,Texas,30.3002,-95.503
Anne Arundel,24003,Maryland,39.0065,-76.6051
Delaware,42045,Pennsylvania,39.9167,-75.3991
Bristol,25005,Massachusetts,41.7972,-71.1144
Douglas,31055,Nebraska,41.2953,-96.1543
New Castle,10003,Delaware,39.5768,-75.6527
Union,34039,New Jersey,40.66,-74.3085
Williamson,48491,Texas,30.648,-97.6008
Ramsey,27123,Minnesota,45.0171,-93.0996
Stanislaus,06099,California,37.5591,-120.9977
Summit,39153,Ohio,41.126,-81.5322
Lancaster,42071,Pennsylvania,40.0424,-76.2477
Volusia,12127,Florida,29.0584,-81.1819
Dane,55025,Wisconsin,43.0673,-89.4181
Montgomery,39113,Ohio,39.7546,-84.2906
Kane,17089,Illinois,41.9388,-88.4286
Guilford,37081,North Carolina,36.0795,-79.7889
Pasco,12101,Florida,28.3091,-82.3932
Chester,42029,Pennsylvania,39.9731,-75.7484
Plymouth,25023,Massachusetts,41.9512,-70.8114
Sedgwick,20173,Kansas,37.6848,-97.461
Greenville,45045,South Carolina,34.8944,-82.3707
Camden,34007,New Jersey,39.8035,-74.9597
Spokane,53063,Washington,47.6207,-117.404
Adams,08001,Colorado,39.8736,-104.3378
Passaic,34031,New Jersey,41.0344,-74.3008
Sonoma,06097,California,38.5283,-122.8874
Morris,34027,New Jersey,40.862,-74.5445
Lake,18089,Indiana,41.4171,-87.3822
Polk,19153,Iowa,41.6855,-93.5735
Richmond,36085,New York,40.5808,-74.1524
Clark,53011,Washington,45.7793,-122.4825
Hampden,25013,Massachusetts,42.1351,-72.6316
Onondaga,36067,New York,43.0058,-76.1946
Tulare,06107,California,36.2201,-118.8005
Prince William,51153,Virginia,38.703,-77.4809
Seminole,12117,Florida,28.717,-81.2363
Knox,47093,Tennessee,35.9932,-83.9371
Washoe,32031,Nevada,40.6657,-119.6643
Ada,16001,Idaho,43.4511,-116.2412
Virginia Beach,51810,Virginia,36.7335,-76.0435
Burlington,34005,New Jersey,39.8777,-74.6681
York,42133,Pennsylvania,39.92,-76.7265
Santa Barbara,06083,California,34.6729,-120.0165
East Baton Rouge,22033,Louisiana,30.5383,-91.0956
Solano,06095,California,38.27,-121.9329
Jefferson,22051,Louisiana,29.7872,-90.1274
Monterey,06053,California,36.2172,-121.2392
Pinal,04021,Arizona,32.9044,-111.3448
Lucas,39095,Ohio,41.6199,-83.6583
Cameron,48061,Texas,26.1334,-97.5181
Dakota,27037,Minnesota,44.6719,-93.0654
Sarasota,12115,Florida,27.1845,-82.3315
Berks,42011,Pennsylvania,40.4163,-75.926
Mobile,01097,Alabama,30.7872,-88.2058
Hillsborough,33011,New Hampshire,42.9153,-71.7161
Richland,45079,South Carolina,34.0218,-80.9031
Clackamas,41005,Oregon,45.188,-122.2209
Genesee,26049,Michigan,43.0217,-83.7067
Charleston,45019,South Carolina,32.8346,-79.9531
Waukesha,55133,Wisconsin,43.0182,-88.3045
Loudoun,51107,Virginia,39.0907,-77.6357
St. Charles,29183,Missouri,38.7819,-90.6749
Pulaski,05119,Arkansas,34.77,-92.3119
Orleans,22071,Louisiana,30.0687,-89.9288
Placer,06061,California,39.0635,-120.7175
Manatee,12081,Florida,27.4719,-82.3153
Orange,36071,New York,41.4021,-74.3055
Butler,39017,Ohio,39.4386,-84.5756
Forsyth,37067,North Carolina,36.1306,-80.2563
Lane,41039,Oregon,43.9388,-122.8475
Allen,18003,Indiana,41.0909,-85.0666
Stark,39151,Ohio,40.8139,-81.3656
Collier,12021,Florida,26.1107,-81.3476
Mercer,34021,New Jersey,40.2834,-74.7018
Washtenaw,26161,Michigan,42.2532,-83.8388
Lehigh,42077,Pennsylvania,40.6127,-75.5923
Madison,01089,Alabama,34.7631,-86.5502
Nueces,48355,Texas,27.7255,-97.6132
Hamilton,47065,Tennessee,35.1808,-85.1648
Brazoria,48039,Texas,29.1897,-95.4519
Marion,12083,Florida,29.2102,-82.0567
Westmoreland,42129,Pennsylvania,40.3107,-79.467
Osceola,12097,Florida,28.0627,-81.1495
Anoka,27003,Minnesota,45.2733,-93.2465
Bell,48027,Texas,31.0377,-97.4782
Lake,12069,Florida,28.7615,-81.7113
Davis,49011,Utah,40.99,-112.1115
Larimer,08069,Colorado,40.6664,-105.4611
Chesterfield,51041,Virginia,37.3785,-77.587
Marion,41047,Oregon,44.9033,-122.5849
Douglas,08035,Colorado,39.3297,-104.9296
Galveston,48167,Texas,29.3931,-94.9629
Cumberland,37051,North Carolina,35.0486,-78.8276
Horry,45051,South Carolina,33.9215,-78.9965
Somerset,34035,New Jersey,40.5635,-74.6163
Henrico,51087,Virginia,37.538,-77.4058
Rockland,36087,New York,41.1524,-74.0241
Hamilton,18057,Indiana,40.0725,-86.052
Boulder,08013,Colorado,40.0925,-105.3577
Fayette,21067,Kentucky,38.0423,-84.4587
Howard,24027,Maryland,39.2507,-76.9312
Luzerne,42079,Pennsylvania,41.177,-75.989
Rutherford,47149,Tennessee,35.8427,-86.4167
Escambia,12033,Florida,30.6689,-87.3628
Lancaster,31109,Nebraska,40.7842,-96.6878
St. Lucie,12111,Florida,27.3773,-80.472
Durham,37063,North Carolina,36.036,-78.8766
St. Louis,29510,Missouri,38.6358,-90.2451
McHenry,17111,Illinois,42.3244,-88.4523
Lorain,39093,Ohio,41.2956,-82.1512
Spartanburg,45083,South Carolina,34.9312,-81.9908
Albany,36001,New York,42.6002,-73.9736
Rockingham,33015,New Hampshire,42.9876,-71.1254
Weld,08123,Colorado,40.5548,-104.3925
Lubbock,48303,Texas,33.6102,-101.8205
Northampton,42095,Pennsylvania,40.7542,-75.3076
Dutchess,36027,New York,41.7651,-73.7429
Anchorage,02020,Alaska,61.1508,-149.1091
Cumberland,23005,Maine,43.8464,-70.3988
Gloucester,34015,New Jersey,39.7173,-75.1414
Ingham,26065,Michigan,42.5971,-84.3735
Lexington,45063,South Carolina,33.9023,-81.2722
Leon,12073,Florida,30.458,-84.2779
Greene,29077,Missouri,37.258,-93.342
Chatham,13051,Georgia,32.0042,-81.1328
Ottawa,26139,Michigan,42.9598,-85.9961
Winnebago,17201,Illinois,42.3363,-89.1609
Clayton,13063,Georgia,33.5419,-84.3576
San Luis Obispo,06079,California,35.3871,-120.4045
Thurston,53067,Washington,46.9258,-122.8332
Cleveland,40027,Oklahoma,35.2031,-97.3265
Dauphin,42043,Pennsylvania,40.4155,-76.7795
Santa Cruz,06087,California,37.0562,-122.0018
Erie,42049,Pennsylvania,41.9926,-80.0328
Webb,48479,Texas,27.7611,-99.3315
Merced,06047,California,37.1919,-120.7177
St. Joseph,18141,Indiana,41.6167,-86.2899
New London,09011,Connecticut,41.4866,-72.1015
Atlantic,34001,New Jersey,39.4777,-74.661
Kitsap,53035,Washington,47.6132,-122.6717
York,45091,South Carolina,34.9747,-81.1844
Benton,05007,Arkansas,36.3387,-94.2561
Alachua,12001,Florida,29.6747,-82.3577
Madison,17119,Illinois,38.8297,-89.9049
Kalamazoo,26077,Michigan,42.2455,-85.5312
St. Clair,17163,Illinois,38.4703,-89.9284
Brown,55009,Wisconsin,44.4529,-88.0037
Marin,06041,California,38.0734,-122.7234
Buncombe,37021,North Carolina,35.6112,-82.5301
Washington,27163,Minnesota,45.0387,-92.8839
St. Tammany,22103,Louisiana,30.4102,-89.9583
Jefferson,48245,Texas,29.8841,-94.1629
Harford,24025,Maryland,39.5611,-76.3171
Weber,49057,Utah,41.2698,-111.9134
Frederick,24021,Maryland,39.4722,-77.398
McLennan,48309,Texas,31.5524,-97.2018
Yakima,53077,Washington,46.4571,-120.7384
Cumberland,42041,Pennsylvania,40.1636,-77.2655
Cherokee,13057,Georgia,34.2439,-84.4762
Caddo,22017,Louisiana,32.5801,-93.8823
St. Johns,12109,Florida,29.9016,-81.4407
Norfolk,51710,Virginia,36.8945,-76.259
Clay,29047,Missouri,39.3105,-94.4209
Lafayette,22055,Louisiana,30.2068,-92.0639
Chesapeake,51550,Virginia,36.6778,-76.3024
Hinds,28049,Mississippi,32.2667,-90.4428
Arlington,51013,Virginia,38.8786,-77.1011
Washington,05143,Arkansas,35.9791,-94.2156
Union,37179,North Carolina,34.9884,-80.5307
Mahoning,39099,Ohio,41.0146,-80.7763
Oneida,36065,New York,43.2417,-75.4359
Lake,39085,Ohio,41.6966,-81.2373
Warren,39165,Ohio,39.4276,-84.1668
Saratoga,36091,New York,43.1074,-73.8639
Forsyth,13117,Georgia,34.2255,-84.125
Yavapai,04025,Arizona,34.5999,-112.554
New Hanover,37129,North Carolina,34.2328,-77.8847
Smith,48423,Texas,32.375,-95.2692
Montgomery,01101,Alabama,32.2203,-86.2076
Richmond,51760,Virginia,37.5295,-77.4756
Butte,06007,California,39.6669,-121.6007
Williamson,47187,Tennessee,35.8938,-86.8986
Henry,13151,Georgia,33.453,-84.1542
Sussex,10005,Delaware,38.6606,-75.39
Jefferson,29099,Missouri,38.2611,-90.5377
Linn,19113,Iowa,42.079,-91.599
Brazos,48041,Texas,30.6608,-96.3024
Whatcom,53073,Washington,48.8259,-121.7199
Gaston,37071,North Carolina,35.2944,-81.1803
Canyon,16027,Idaho,43.6251,-116.7093
Yolo,06113,California,38.6866,-121.9016
Jackson,41029,Oregon,42.4322,-122.7285
Doña Ana,35013,New Mexico,32.3526,-106.8328
Berkeley,45015,South Carolina,33.1973,-79.9522
Barnstable,25001,Massachusetts,41.7242,-70.2915
Shelby,01117,Alabama,33.2643,-86.6607
Hays,48209,Texas,30.0581,-98.0311
Baldwin,01003,Alabama,30.7275,-87.7226
Clay,12019,Florida,29.9831,-81.8579
Niagara,36063,New York,43.2001,-78.7452
Lackawanna,42069,Pennsylvania,41.4368,-75.6092
Champaign,17019,Illinois,40.1401,-88.1992
Yuma,04027,Arizona,32.7695,-113.9056
Mohave,04015,Arizona,35.7041,-113.758
Tuscaloosa,01125,Alabama,33.2896,-87.5251
Washington,42125,Pennsylvania,40.1894,-80.2482
Cabarrus,37025,North Carolina,35.3868,-80.5519
Elkhart,18039,Indiana,41.5974,-85.8587
Harrison,28047,Mississippi,30.5118,-89.1159
York,23031,Maine,43.4782,-70.7144
Clermont,39025,Ohio,39.0475,-84.1519
Okaloosa,12091,Florida,30.6913,-86.5917
Richmond,13245,Georgia,33.3596,-82.0735
Calcasieu,22019,Louisiana,30.2292,-93.3579
Delaware,39041,Ohio,40.2784,-83.0049
Trumbull,39155,Ohio,41.3172,-80.7611
Montgomery,47125,Tennessee,36.4969,-87.3828
St. Louis,27137,Minnesota,47.6032,-92.4706
Hawaii,15001,Hawaii,19.5987,-155.5185
Hall,13139,Georgia,34.3169,-83.8197
Anderson,45007,South Carolina,34.5193,-82.6378
Benton,53005,Washington,46.2398,-119.5112
Johnston,37101,North Carolina,35.5178,-78.3657
Sangamon,17167,Illinois,39.7582,-89.6589
Muscogee,13215,Georgia,32.51,-84.8771
Racine,55101,Wisconsin,42.7475,-88.0612
Onslow,37133,North Carolina,34.7321,-77.4321
Broome,36007,New York,42.1602,-75.8196
Saginaw,26145,Michigan,43.335,-84.0532
Tippecanoe,18157,Indiana,40.3886,-86.8941
Livingston,26093,Michigan,42.6029,-83.9115
Minnehaha,46099,South Dakota,43.6742,-96.7915
El Dorado,06017,California,38.7787,-120.5247
Butler,42019,Pennsylvania,40.9118,-79.9133
Hernando,12053,Florida,28.5536,-82.425
Deschutes,41017,Oregon,43.9151,-121.2281
Beaufort,45013,South Carolina,32.3855,-80.7302
Outagamie,55087,Wisconsin,44.4161,-88.4649
Sumner,47165,Tennessee,36.4694,-86.4604
Kanawha,54039,West Virginia,38.3366,-81.5281
Peoria,17143,Illinois,40.788,-89.76
Bay,12005,Florida,30.2652,-85.6203
Litchfield,09005,Connecticut,41.7925,-73.2453
Vanderburgh,18163,Indiana,38.025,-87.5858
Sarpy,31153,Nebraska,41.1129,-96.112
Charlotte,12015,Florida,26.9055,-81.9123
Imperial,06025,California,33.0395,-115.3654
Newport News,51700,Virginia,37.1051,-76.5185
Shasta,06089,California,40.7637,-122.0405
DeSoto,28033,Mississippi,34.8754,-89.9918
Ulster,36111,New York,41.8881,-74.2586
Pitt,37147,North Carolina,35.5933,-77.3745
Medina,39103,Ohio,41.1176,-81.8997
Shawnee,20177,Kansas,39.0415,-95.7565
Boone,29019,Missouri,38.9906,-92.3097
Cass,38017,North Dakota,46.933,-97.248
Kent,10001,Delaware,39.0862,-75.5684
Iredell,37097,North Carolina,35.807,-80.8734
Santa Rosa,12113,Florida,30.7004,-87.022
Ellis,48139,Texas,32.3484,-96.7945
Licking,39089,Ohio,40.0916,-82.4831
Muskegon,26121,Michigan,43.2912,-86.152
McLean,17113,Illinois,40.4909,-88.8473
Scott,19163,Iowa,41.6371,-90.6232
Winnebago,55139,Wisconsin,44.0689,-88.6446
Porter,18127,Indiana,41.4605,-87.0673
Kenosha,55059,Wisconsin,42.5769,-88.0424
Aiken,45003,South Carolina,33.5443,-81.6347
Midland,48329,Texas,31.8691,-102.0316
Monroe,42089,Pennsylvania,41.0581,-75.3395
Carroll,24013,Maryland,39.5629,-77.0225
Johnson,48251,Texas,32.379,-97.3663
Greene,39057,Ohio,39.6915,-83.8899
Pueblo,08101,Colorado,38.1735,-104.5128
Maui,15009,Hawaii,20.8596,-156.5648
Beaver,42007,Pennsylvania,40.6823,-80.3493
Washington,49053,Utah,37.2804,-113.5048
Kenton,21117,Kentucky,38.9334,-84.5333
Davidson,37057,North Carolina,35.7934,-80.2127
Wyandotte,20209,Kansas,39.1146,-94.7646
Kent,44003,Rhode Island,41.6722,-71.593
Hendricks,18063,Indiana,39.7695,-86.51
Alamance,37001,North Carolina,36.0437,-79.3994
Middlesex,09007,Connecticut,41.4632,-72.5351
Chittenden,50007,Vermont,44.461,-73.0809
Portage,39133,Ohio,41.1677,-81.1974
Rock,55105,Wisconsin,42.6712,-89.0716
Centre,42027,Pennsylvania,40.9193,-77.82
Lee,01081,Alabama,32.6011,-85.3555
Hampshire,25015,Massachusetts,42.3402,-72.6638
Ector,48135,Texas,31.8692,-102.5429
Paulding,13223,Georgia,33.9205,-84.8673
Charles,24017,Maryland,38.5073,-76.9922
St. Clair,26147,Michigan,42.9341,-82.6805
Rensselaer,36083,New York,42.7111,-73.5097
Martin,12085,Florida,27.0775,-80.4315
Yellowstone,30111,Montana,45.9373,-108.2744
Guadalupe,48187,Texas,29.5831,-97.9486
Jackson,26075,Michigan,42.2485,-84.4234
Stearns,27145,Minnesota,45.5521,-94.613
Dorchester,45035,South Carolina,33.0793,-80.4067
Alexandria,51510,Virginia,38.8185,-77.0861
Catawba,37035,North Carolina,35.662,-81.2151
Kootenai,16055,Idaho,47.6744,-116.7018
Sullivan,47163,Tennessee,36.5129,-82.3042
Ouachita,22073,Louisiana,32.4783,-92.1549
Madera,06039,California,37.218,-119.7627
Schenectady,36093,New York,42.8181,-74.0586
Olmsted,27109,Minnesota,44.0038,-92.4018
Fairfield,39045,Ohio,39.7516,-82.6306
Franklin,42055,Pennsylvania,39.9274,-77.7213
Berrien,26021,Michigan,41.9547,-86.4123
Indian River,12061,Florida,27.6943,-80.6062
Johnson,18081,Indiana,39.49,-86.1016
Houston,13153,Georgia,32.459,-83.6662
Bibb,13021,Georgia,32.8065,-83.6974
Rankin,28121,Mississippi,32.2641,-89.9458
Cumberland,34011,New Jersey,39.3738,-75.1108
Penobscot,23019,Maine,45.4006,-68.6495
Mesa,08077,Colorado,39.0183,-108.4664
Tolland,09013,Connecticut,41.855,-72.3365
Columbia,13073,Georgia,33.5441,-82.264
Kings,06031,California,36.0753,-119.8155
Washington,24043,Maryland,39.6036,-77.814
Merrimack,33013,New Hampshire,43.2975,-71.6802
Monroe,26115,Michigan,41.9287,-83.5375
Santa Fe,35049,New Mexico,35.5069,-105.9763
Johnson,19103,Iowa,41.6715,-91.5881
Stafford,51179,Virginia,38.4207,-77.458
Monroe,18105,Indiana,39.1609,-86.5231
Scott,27139,Minnesota,44.6485,-93.5359
Citrus,12017,Florida,28.8489,-82.4794
Orange,37135,North Carolina,36.0611,-79.1207
Rock Island,17161,Illinois,41.4673,-90.5674
Douglas,13097,Georgia,33.7018,-84.768
Coweta,13077,Georgia,33.3535,-84.7634
Randolph,37151,North Carolina,35.7103,-79.806
Sandoval,35043,New Mexico,35.6886,-106.8659
Schuylkill,42107,Pennsylvania,40.7058,-76.216
Jackson,28059,Mississippi,30.5423,-88.6357
Comal,48091,Texas,29.8082,-98.2783
Sussex,34037,New Jersey,41.1393,-74.6909
Coconino,04005,Arizona,35.8387,-111.7705
Canadian,40017,Oklahoma,35.5424,-97.9824
Rowan,37159,North Carolina,35.6395,-80.5248
Lebanon,42075,Pennsylvania,40.3672,-76.4577
Napa,06055,California,38.5065,-122.3305
Livingston,22063,Louisiana,30.4401,-90.7279
Florence,45041,South Carolina,34.0245,-79.703
Taylor,48441,Texas,32.3015,-99.8901
Wilson,47189,Tennessee,36.1549,-86.2978
Humboldt,06023,California,40.6993,-123.8756
Marathon,55073,Wisconsin,44.8983,-89.7591
Hampton,51650,Virginia,37.0551,-76.363
Washington,55131,Wisconsin,43.3685,-88.2307
Clark,39023,Ohio,39.9168,-83.7838
Wright,27171,Minnesota,45.174,-93.9631
Calhoun,26025,Michigan,42.2465,-85.0056
Randall,48381,Texas,34.9659,-101.897
Parker,48367,Texas,32.7777,-97.8051
Tazewell,17179,Illinois,40.5075,-89.5134
Cambria,42021,Pennsylvania,40.4953,-78.7137
Spotsylvania,51177,Virginia,38.185,-77.6561
Robeson,37155,North Carolina,34.6402,-79.1039
Black Hawk,19013,Iowa,42.4701,-92.3088
Harnett,37085,North Carolina,35.3686,-78.8694
Tangipahoa,22105,Louisiana,30.6266,-90.4057
Brunswick,37019,North Carolina,34.071,-78.2377
Wichita,48485,Texas,33.9879,-98.7036
Fayette,42051,Pennsylvania,39.9199,-79.6473
Grayson,48181,Texas,33.6268,-96.6777
Rapides,22079,Louisiana,31.1986,-92.5332
Boone,21015,Kentucky,38.9699,-84.7278
Wood,39173,Ohio,41.3617,-83.623
Blount,47009,Tennessee,35.6872,-83.9255
Madison,18095,Indiana,40.1616,-85.7194
Strafford,33017,New Hampshire,43.297,-71.0289
Warren,21227,Kentucky,36.9936,-86.4238
Chautauqua,36013,New York,42.2282,-79.3663
Washington,47179,Tennessee,36.2933,-82.4974
Sebastian,05131,Arkansas,35.1993,-94.2742
San Juan,35045,New Mexico,36.5085,-108.3206
Bossier,22015,Louisiana,32.6789,-93.605
Berkshire,25003,Massachusetts,42.3707,-73.2064
Clarke,13059,Georgia,33.9512,-83.3673
Washington,44009,Rhode Island,41.4697,-71.6226
Kendall,17093,Illinois,41.5906,-88.4288
Cochise,04003,Arizona,31.8796,-109.7512
Skagit,53057,Washington,48.4794,-121.7302
Linn,41043,Oregon,44.4889,-122.535
Sumter,12119,Florida,28.7048,-82.081
Hunterdon,34019,New Jersey,40.5673,-74.9122
Cache,49005,Utah,41.7224,-111.7436
Pickens,45077,South Carolina,34.8873,-82.7252
Kaufman,48257,Texas,32.5993,-96.2878
Faulkner,05045,Arkansas,35.147,-92.332
Wayne,37191,North Carolina,35.364,-78.004
Gregg,48183,Texas,32.4805,-94.817
Blair,42013,Pennsylvania,40.481,-78.3486
Ascension,22005,Louisiana,30.2036,-90.9113
Comanche,40031,Oklahoma,34.6621,-98.4717
Kennebec,23011,Maine,44.4091,-69.7673
Richland,39139,Ohio,40.7747,-82.5365
Douglas,20045,Kansas,38.8847,-95.2926
Jasper,29097,Missouri,37.2036,-94.3406
Potter,48375,Texas,35.4013,-101.8939
Saline,05125,Arkansas,34.6466,-92.6765
Morgan,01103,Alabama,34.4535,-86.8529
Oswego,36075,New York,43.4269,-76.1414
Tom Green,48451,Texas,31.4045,-100.4621
La Crosse,55063,Wisconsin,43.9066,-91.1152
Missoula,30063,Montana,47.0365,-113.9237
Carroll,13045,Georgia,33.5828,-85.0798
Windham,09015,Connecticut,41.83,-71.9874
Clark,18019,Indiana,38.4772,-85.7073
Allegan,26005,Michigan,42.5913,-85.8884
Wayne,39169,Ohio,40.8289,-81.888
Lowndes,13185,Georgia,30.8338,-83.2677
Berkeley,54003,West Virginia,39.4641,-78.0275
Sheboygan,55117,Wisconsin,43.7212,-87.9454
Delaware,18035,Indiana,40.2275,-85.3969
Henderson,37089,North Carolina,35.3363,-82.48
Calhoun,01015,Alabama,33.7714,-85.826
Bonneville,16019,Idaho,43.3877,-111.6148
Lycoming,42081,Pennsylvania,41.3434,-77.0645
Jefferson,36045,New York,44.0494,-75.921
Fayette,13113,Georgia,33.414,-84.4942
St. Mary's,24037,Maryland,38.3024,-76.6058
Terrebonne,22109,Louisiana,29.4148,-90.8663
Mercer,42085,Pennsylvania,41.3022,-80.2577
Pennington,46103,South Dakota,44.0037,-102.8238
Kankakee,17091,Illinois,41.1377,-87.8618
LaPorte,18091,Indiana,41.546,-86.74
Flagler,12035,Florida,29.4614,-81.3136
LaSalle,17099,Illinois,41.344,-88.8859
Ontario,36069,New York,42.8528,-77.2998
Eaton,26045,Michigan,42.5961,-84.8383
Navajo,04017,Arizona,35.3997,-110.3214
Douglas,41019,Oregon,43.2797,-123.1665
St. Lawrence,36089,New York,44.4964,-75.0691
Hardin,21093,Kentucky,37.6979,-85.9634
Newton,13217,Georgia,33.555,-83.8502
Gallatin,30031,Montana,45.5404,-111.1704
Androscoggin,23001,Maine,44.1658,-70.2065
Vigo,18167,Indiana,39.4306,-87.39
Albemarle,51003,Virginia,38.0229,-78.5567
Craighead,05031,Arkansas,35.8308,-90.6328
Cowlitz,53015,Washington,46.1932,-122.681
Sumter,45085,South Carolina,33.9162,-80.3823
Warren,34041,New Jersey,40.8572,-74.9973
Bradley,47011,Tennessee,35.1541,-84.8596
Hanover,51085,Virginia,37.7601,-77.4912
Macon,17115,Illinois,39.86,-88.9616
Monongalia,54061,West Virginia,39.6303,-80.0466
Miami,39109,Ohio,40.0535,-84.2289
Matanuska-Susitna,02170,Alaska,62.3162,-149.5714
Bartow,13015,Georgia,34.2377,-84.8403
Yamhill,41071,Oregon,45.2326,-123.3081
Houston,01069,Alabama,31.1532,-85.3025
Madison,28089,Mississippi,32.6347,-90.0337
DeKalb,17037,Illinois,41.8935,-88.7703
Whitfield,13313,Georgia,34.8056,-84.9672
Bay,26017,Michigan,43.708,-83.9916
Cass,29037,Missouri,38.647,-94.3549
